,Profile,Features changed,Perc. features changed with bad shap vals,Distance to data point,Distance to training data point,Target missed
0,5.56,13,30.76923076923077,0.15272443756656937,0.0,False
1,Run 1_Trace 1613475766175,15,66.66666666666666,0.13217534036890852,0.0,False
2,Run 1_Trace 1613475745777,13,61.53846153846154,0.12570357944883345,0.0,False
3,2A3.3,17,64.70588235294117,0.22424990200847614,0.0,False
4,Run 1_Trace 1613486842954,9,33.33333333333333,0.03581675656039133,0.0,False
5,Run 1_Trace 1613638963435,16,43.75,0.15715325001290376,0.0,False
6,Run 1_Trace 1613475780884,15,46.666666666666664,0.14129989754101657,0.0,False
7,Run 1_Trace 1613475749114,8,37.5,0.04077954816147937,0.0,False
8,6606079_20170517086_RABM0598NL#02_G10.hid,13,38.46153846153847,0.14840267552915096,0.0,False
9,Run 1_Trace 1613475762067,14,42.857142857142854,0.11875860626991719,0.0,False
10,Run 1_Trace 1613475762528,12,33.33333333333333,0.10204753296249304,0.0,False
11,Run 1_Trace 1613652317963,14,42.857142857142854,0.11678760937946966,0.0,False
12,Run 1_Trace 1613477972750,12,50.0,0.11645476716409187,0.0,False
13,Run 1_Trace 1613475721841,16,56.25,0.18293208087114912,0.0,False
14,Run 1_Trace 1613475750425,13,46.15384615384615,0.1361678381961915,0.0,False
15,Run 1_Trace 1613475719952,15,60.0,0.1475530845304287,0.0,False
16,Run 1_Trace 1613665562009,13,38.46153846153847,0.09910432534791865,0.0,False
17,Run 1_Trace 1613475746193,13,53.84615384615385,0.13274154161081533,0.0,False
18,Run 1_Trace 1613475971690,14,64.28571428571429,0.13662028594086886,0.0,False
19,Run 1_Trace 1613579437213,14,64.28571428571429,0.13420000715589503,0.0,False
20,Run 1_Trace 1613607764814,12,33.33333333333333,0.09615003685770007,0.0,False
21,Run 1_Trace 1613475715212,16,43.75,0.23393490057698357,0.0,False
22,Run 1_Trace 1613475776207,10,30.0,0.07761516676182971,0.0,False
23,Run 1_Trace 1613475718928,14,50.0,0.14426757675875565,0.0,False
24,3.09,10,60.0,0.095290429410867,0.0,False
25,Run 1_Trace 1613475798319,17,52.94117647058824,0.16800258248983999,0.0,False
26,Run 1_Trace 1613486306353,12,16.666666666666664,0.09758559936683468,0.0,False
27,Run 1_Trace 1613690434008,13,38.46153846153847,0.11554191350718528,0.0,False
28,Run 1_Trace 1613604162122,16,31.25,0.1356841034746766,0.0,False
29,Run 1_Trace 1613479797549,16,50.0,0.18128386153069082,0.0,False
30,Run 1_Trace 1613485535948,14,71.42857142857143,0.19185615524967128,0.0,False
31,Run 1_Trace 1613475721705,12,41.66666666666667,0.11375277167761626,0.0,False
32,Run 1_Trace 1613475776600,13,53.84615384615385,0.11133732465982107,0.0,False
33,Run 1_Trace 1613640971388,11,36.36363636363637,0.08986025541632743,0.0,False
34,Run 1_Trace 1613492043376,13,46.15384615384615,0.136049551432172,0.0,False
35,Run 1_Trace 1613475982379,12,66.66666666666666,0.10726359915105468,0.0,False
36,Run 1_Trace 1613475725113,13,69.23076923076923,0.10676364418283836,0.0,False
37,Run 1_Trace 1613475751879,14,35.714285714285715,0.09664280259038971,0.0,False
38,Run 1_Trace 1613475756800,12,50.0,0.09563051087192809,0.0,False
39,Run 1_Trace 1613475736418,13,53.84615384615385,0.13419921847008318,0.0,False
40,4.45,15,53.333333333333336,0.15384742752084404,0.0,False
41,Run 1_Trace 1613475757400,13,38.46153846153847,0.11612049255581824,0.0,False
42,2.19,12,33.33333333333333,0.10155004054823032,0.0,False
43,Run 1_Trace 1613676513158,13,30.76923076923077,0.09773591486452006,0.0,False
44,8pg_E04_13.hid,15,53.333333333333336,0.16155824612015146,0.0,False
45,7241797_20070201143_AFJ155#01_F02.hid,13,38.46153846153847,0.13908436827073084,0.0,False
46,Run 1_Trace 1613475948721,11,45.45454545454545,0.07580627625217062,0.0,False
47,Run 1_Trace 1613590654897,13,38.46153846153847,0.14274180993927393,0.0,False
48,Run 1_Trace 1613475756941,15,46.666666666666664,0.14858414687792704,0.0,False
49,Run 1_Trace 1613475744834,13,61.53846153846154,0.11962399635251422,0.0,False
50,Run 1_Trace 1613565745834,14,42.857142857142854,0.14362335276175037,0.0,False
51,Run 1_Trace 1613640261912,12,41.66666666666667,0.12513724199747922,0.0,False
52,Run 1_Trace 1613475838000,11,45.45454545454545,0.09504520117886991,0.0,False
53,Run 1_Trace 1613475801231,11,27.27272727272727,0.09100266505466795,0.0,False
54,Run 1_Trace 1613475750621,14,57.14285714285714,0.15729840241714826,0.0,False
55,Run 1_Trace 1613486740116,10,30.0,0.047074934231457644,0.0,False
56,Run 1_Trace 1613639992592,15,40.0,0.13438149946317318,0.0,False
57,Run 1_Trace 1613475736671,14,50.0,0.14847785451888867,0.0,False
58,Run 1_Trace 1613475726685,13,53.84615384615385,0.12301264974427047,0.0,False
