,Profile,Features changed,Perc. features changed with bad shap vals,Distance to data point,Distance to training data point,Target missed
0,5.56,8,0.0,0.048957543888112666,0.0,False
1,Run 1_Trace 1613475766175,7,28.57142857142857,0.04298847769753691,0.0,False
2,Run 1_Trace 1613475745777,3,0.0,0.026881572921585672,0.022191910567785342,False
3,2A3.3,4,25.0,0.005816639928856549,0.0010964912280701754,False
4,Run 1_Trace 1613486842954,1,0.0,0.006102212051868803,0.02892807392284672,False
5,Run 1_Trace 1613638963435,7,14.285714285714285,0.025462735231411227,0.0,False
6,Run 1_Trace 1613475780884,4,0.0,0.033662808727716514,0.009055715908355369,False
7,Run 1_Trace 1613475749114,4,50.0,0.03932218290798545,0.0,False
8,6606079_20170517086_RABM0598NL#02_G10.hid,3,0.0,0.028360957085747332,0.005884571046186891,False
9,Run 1_Trace 1613475762067,8,50.0,0.047652313107937085,0.0,False
