,Profile,Features changed,Perc. features changed with bad shap vals,Distance to data point,Distance to training data point,Target missed
0,5.56,8,0.0,0.048957543888112666,0.0,False
1,Run 1_Trace 1613475766175,7,28.57142857142857,0.04298847769753691,0.0,False
2,Run 1_Trace 1613475745777,8,37.5,0.059967933815196335,0.0,False
3,2A3.3,5,40.0,0.006913131156926725,0.0,False
4,Run 1_Trace 1613486842954,8,50.0,0.05068166296490678,0.0,False
5,Run 1_Trace 1613638963435,7,0.0,0.025462735231411227,0.0,False
6,Run 1_Trace 1613475780884,7,28.57142857142857,0.042718524636071876,0.0,False
7,Run 1_Trace 1613475749114,4,50.0,0.03932218290798545,0.0,False
8,6606079_20170517086_RABM0598NL#02_G10.hid,7,42.857142857142854,0.03424552813193422,0.0,False
9,Run 1_Trace 1613475762067,8,37.5,0.047652313107937085,0.0,False
10,Run 1_Trace 1613475762528,9,11.11111111111111,0.062365072745597536,0.0,False
11,Run 1_Trace 1613652317963,8,25.0,0.05408488083556786,0.0,False
12,Run 1_Trace 1613477972750,7,42.857142857142854,0.05673341962140156,0.0,False
13,Run 1_Trace 1613475721841,8,50.0,0.032037925097599666,0.0,False
14,Run 1_Trace 1613475750425,8,12.5,0.04818780736116708,0.0,False
15,Run 1_Trace 1613475719952,8,62.5,0.06082215834141234,0.0,False
16,Run 1_Trace 1613665562009,8,25.0,0.05096959041051734,0.0,False
17,Run 1_Trace 1613475746193,9,66.66666666666666,0.07861653137347199,0.0,False
18,Run 1_Trace 1613475971690,8,37.5,0.05363155033951773,0.0,False
19,Run 1_Trace 1613579437213,8,50.0,0.03242092507784661,0.0,False
20,Run 1_Trace 1613607764814,8,37.5,0.05321117959704824,0.0,False
21,Run 1_Trace 1613475715212,9,22.22222222222222,0.09172685369430156,0.0,False
22,Run 1_Trace 1613475776207,6,16.666666666666664,0.031565023562618484,0.0,False
23,Run 1_Trace 1613475718928,8,25.0,0.04595669427551746,0.0,False
24,3.09,8,37.5,0.035645595403035045,0.0,False
25,Run 1_Trace 1613475798319,8,12.5,0.04174195172279504,0.0,False
26,Run 1_Trace 1613486306353,8,12.5,0.05623497300791282,0.0,False
27,Run 1_Trace 1613690434008,7,0.0,0.02714072740043733,0.0,False
28,Run 1_Trace 1613604162122,8,12.5,0.0337246334059965,0.0,False
29,Run 1_Trace 1613479797549,8,37.5,0.08342523348412237,0.0,False
30,Run 1_Trace 1613485535948,12,50.0,0.13811480128906545,0.0,False
31,Run 1_Trace 1613475721705,7,14.285714285714285,0.03510665328216376,0.0,False
32,Run 1_Trace 1613475776600,10,30.0,0.07774673457600795,0.0,False
33,Run 1_Trace 1613640971388,7,42.857142857142854,0.05649106935543163,0.0,False
34,Run 1_Trace 1613492043376,9,33.33333333333333,0.08006078999660855,0.0,False
35,Run 1_Trace 1613475982379,7,14.285714285714285,0.04891120838527626,0.0,False
36,Run 1_Trace 1613475725113,7,28.57142857142857,0.025550535976489347,0.0,False
37,Run 1_Trace 1613475751879,7,0.0,0.048472944031179646,0.0,False
38,Run 1_Trace 1613475756800,5,40.0,0.022061631494297282,0.0,False
39,Run 1_Trace 1613475736418,8,37.5,0.04197564325423876,0.0,False
40,4.45,9,11.11111111111111,0.06985277022843234,0.0,False
41,Run 1_Trace 1613475757400,6,0.0,0.03443370196368965,0.0,False
42,2.19,6,16.666666666666664,0.03972252815499462,0.0,False
43,Run 1_Trace 1613676513158,8,37.5,0.05062137071182629,0.0,False
44,8pg_E04_13.hid,8,37.5,0.05600646219728067,0.0,False
45,7241797_20070201143_AFJ155#01_F02.hid,7,28.57142857142857,0.029851103141426222,0.0,False
46,Run 1_Trace 1613475948721,8,12.5,0.05915953575671251,0.0,False
47,Run 1_Trace 1613590654897,9,0.0,0.0786687529405902,0.0,False
48,Run 1_Trace 1613475756941,9,44.44444444444444,0.06819153397040766,0.0,False
49,Run 1_Trace 1613475744834,8,50.0,0.04687551133463902,0.0,False
50,Run 1_Trace 1613565745834,9,22.22222222222222,0.05887624677222315,0.0,False
51,Run 1_Trace 1613640261912,9,44.44444444444444,0.051628254732822426,0.0,False
52,Run 1_Trace 1613475838000,6,50.0,0.03554486690742392,0.0,False
53,Run 1_Trace 1613475801231,7,14.285714285714285,0.030411924581950845,0.0,False
54,Run 1_Trace 1613475750621,8,25.0,0.07433031663436306,0.0,False
55,Run 1_Trace 1613486740116,8,0.0,0.05313163306797746,0.0,False
56,Run 1_Trace 1613639992592,7,0.0,0.02668250522926342,0.0,False
57,Run 1_Trace 1613475736671,9,22.22222222222222,0.08471145633515115,0.0,False
58,Run 1_Trace 1613475726685,8,25.0,0.06033213527878917,0.0,False
59,Run 1_Trace 1613663739179,9,44.44444444444444,0.05587991898810898,0.0,False
60,Run 1_Trace 1613476006597,6,16.666666666666664,0.03164976015546641,0.0,False
61,Run 1_Trace 1613475803424,8,37.5,0.06304328588300427,0.0,False
62,Run 1_Trace 1613481907651,7,42.857142857142854,0.0299194490368064,0.0,False
63,Run 1_Trace 1613490921772,10,50.0,0.08464894190310106,0.0,False
64,5D5.3,7,28.57142857142857,0.055866984563867905,0.0,False
65,Run 1_Trace 1613475727035,8,37.5,0.048765477319280486,0.0,False
66,Run 1_Trace 1613475802352,6,0.0,0.027355446140247958,0.0,False
67,Run 1_Trace 1613475789015,7,42.857142857142854,0.024849653862719655,0.0,False
68,Run 1_Trace 1613475781601,9,33.33333333333333,0.05717008616636349,0.0,False
69,3D5.3,8,37.5,0.08545521890255102,0.0,False
70,Run 1_Trace 1613475999502,8,37.5,0.06433205189356832,0.0,False
71,Run 1_Trace 1613475951305,7,14.285714285714285,0.05515482928867859,0.0,False
72,Run 1_Trace 1613485645791,7,14.285714285714285,0.04375464019744611,0.0,False
73,Run 1_Trace 1613688859964,9,33.33333333333333,0.08973382859582756,0.0,False
74,Run 1_Trace 1613475736752,9,55.55555555555556,0.049641409593930715,0.0,False
75,Run 1_Trace 1613475837670,10,50.0,0.07417960147199927,0.0,False
76,Run 1_Trace 1613569840299,8,37.5,0.03804074081375157,0.0,False
77,Run 1_Trace 1613475783599,7,28.57142857142857,0.03898326605177647,0.0,False
78,Run 1_Trace 1613618663656,7,0.0,0.03177905569425541,0.0,False
79,Run 1_Trace 1613478292234,7,57.14285714285714,0.0433134574666237,0.0,False
80,Run 1_Trace 1613481866121,8,25.0,0.03814086150692908,0.0,False
81,Run 1_Trace 1613475745356,8,50.0,0.04413079514041348,0.0,False
82,Run 1_Trace 1613678045847,7,28.57142857142857,0.04148698697970411,0.0,False
83,Run 1_Trace 1613475720466,8,37.5,0.040814094532706235,0.0,False
84,Run 1_Trace 1613489231530,6,16.666666666666664,0.04740051085834269,0.0,False
85,Run 1_Trace 1613475798924,8,37.5,0.05999671418499192,0.0,False
86,Run 1_Trace 1613475802182,6,0.0,0.029613152481213188,0.0,False
87,Run 1_Trace 1613475937255,7,0.0,0.032824913996166216,0.0,False
88,Run 1_Trace 1613586857591,8,12.5,0.07599584193781875,0.0,False
89,6606074_20170517081_RABM0509NL#02_A10.hid,7,14.285714285714285,0.04280457080472063,0.0,False
90,Run 1_Trace 1613615811349,9,44.44444444444444,0.08462548957424348,0.0,False
91,4.54,7,28.57142857142857,0.045416000373214194,0.0,False
92,Run 1_Trace 1613475883955,7,0.0,0.03735450028159607,0.0,False
93,6606057_20170517064_RABF9247NL#02_H07.hid,9,33.33333333333333,0.060721613958596564,0.0,False
94,Run 1_Trace 1613477873571,8,12.5,0.0659597233251457,0.0,False
95,6606039_20170517046_RABO7364NL#02_D05.hid,7,14.285714285714285,0.048917144687421095,0.0,False
96,Run 1_Trace 1613665089583,9,22.22222222222222,0.06796346137436289,0.0,False
97,Run 1_Trace 1613475738489,8,25.0,0.06675061698868179,0.0,False
98,Run 1_Trace 1613475752417,8,37.5,0.050604507667372324,0.0,False
99,Run 1_Trace 1613475782025,8,50.0,0.062334906709511195,0.0,False
100,3.19,8,25.0,0.02500967739266527,0.0,False
101,Run 1_Trace 1613483645272,7,14.285714285714285,0.03770495529515936,0.0,False
102,Run 1_Trace 1613596150529,9,33.33333333333333,0.0534519077994911,0.0,False
103,Run 1_Trace 1613475732114,8,37.5,0.04667413480413155,0.0,False
104,Run 1_Trace 1613475787468,6,0.0,0.01710028543182133,0.0,False
105,Run 1_Trace 1613491007472,9,11.11111111111111,0.04284536401506398,0.0,False
106,Run 1_Trace 1613637308065,7,0.0,0.07086689908604167,0.0,False
107,Run 1_Trace 1613485033615,7,42.857142857142854,0.05351565591083545,0.0,False
108,Run 1_Trace 1613477198029,7,14.285714285714285,0.03449176315805305,0.0,False
109,Run 1_Trace 1613629974092,8,0.0,0.04569696327996843,0.0,False
110,Run 1_Trace 1613477914698,9,11.11111111111111,0.06750291447941519,0.0,False
111,Run 1_Trace 1613475723439,7,28.57142857142857,0.0321348926913724,0.0,False
112,Run 1_Trace 1613475810890,7,28.57142857142857,0.025130264000152527,0.0,False
113,Run 1_Trace 1613475936360,7,14.285714285714285,0.037572553813393965,0.0,False
114,Run 1_Trace 1613475848783,7,57.14285714285714,0.0474535960844965,0.0,False
